note	book	page	result	score	quote
Military uniforms and equipment.md	Şahbaba (Murat Bardakçı)	p. 231	updated		Elbiseler ve üniformalar Gikartildiklan.gardroplara yeniden yerle#irildi... Rumb → Elbiseler ve üniformalar çıkartıldıklar gardroplara yeniden yerleştirildi... Rum
Military uniforms and equipment.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 524	updated		Signra verdin Bir kutu da gander-dim, Egli.ha degil kapaklJ Martini, tåfeginin B → arkadaşlarına gönderdim. Esliha .... değil kapakl Martini, Ingiliz tüfeğinin Bar
Military uniforms and equipment.md	Trablusgarp Savaşı ve Türk-İtalyan İlişkileri (Timothy W. Childs)	p. 147	unmatched	68	Bu teklifi parlamentonun onayma sunan Fernando Martini, teklifini �u �airane ifa
Ottoman press.md	Avrupa ve Biz (İlber Ortaylı)	p. 26	unmatched	0	GiRış 15 iSVEÇLi POLONYALI Uzun boylu kuvvedi Zalim İnatçı Tanınmayacak şekilde 
Ottoman press.md	Şahbaba (Murat Bardakçı)	p. 684	updated		Bu #artlardan bazrlan Abdülmecid Efendi'nin Meclis'e hitaben bir tepkkür mesajl  → Bu şartlardan bazılar Abdülmecid Efendi’nin Meclis’e hitaben bir teşekkür mesajı
Ottoman press.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 86	updated		"Tanin" Gazetesi vakia pek muhim bir gazete ise de, onun rolu fikrimce nim-resmi → “Tanin” Gazetesi vakıa pek mühim bir gazete ise de, onun rolü fikrimce nin-resmi
Ottoman press.md	Cumhuriyet'in Çinli Misafirleri (Giray Fidan)	p. 166	unmatched	0	Mengguren Moğollar tl1*G*Wi E.i!&JlE.� Takupisi Balukebaza Trikopis Balık Pazan 
Ottoman press.md	Hobart Paşa'nın Anıları (Augustus C. Hobart-Hampden)	p. 318	updated		Tasvir-i Efkar, 6 Eylül 1869 (Londra'da yaptırılan iki zırhlı ge- minin çabuk bi → Tasvir-i Efkar, 6 Eylül 1869 (Londra'da yaptırılan iki zırhlı ge- minin çabuk bi
Pan-Islamism.md	Cumhuriyet'in Çinli Misafirleri (Giray Fidan)	p. 166	unmatched	0	Tıanzhujiaodeyameiniya @lft:�#'.I: Huijiaolibaitang ııa-�E.12.l�J* Hazhibayilamu
Pan-Islamism.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 277	updated		Ancak, daha §imdiden TUrkiye'deki halkm dortte ii9iinu temsil eden gruplar adma, → Ancak, daha şimdiden Türkiye'deki halkın dörtte üçünü temsil eden gruplar adına,
