original	corrected	count
papalari	papaları	2
piskoposlarina	piskoposlarına	2
Osios	Osıos	2
Photius’a	Photıus’a	2
katilamadi	katılamadı	2
Arionizm	Arionızm	2
Eutropius’un	Eutropıus’un	2
Ioannis’un	İoannis’un	2
Eutropius	Eutropıus	2
siniflarinda	sınıflarında	2
kinanmasina	kınanmasına	2
suçlamalarini	suçlamalarını	2
Ioannis’i	İoannis’i	2
vaazi	vaazı	2
kiskançlikla	kıskançlıkla	2
Papasi	Papası	2
ruhbanini	ruhbanını	2
olayli	olaylı	2
sapkinlik	sapkınlık	2
Archimandrite	Archimandrıte	2
Eutychius	Eutychıus	2
Eutychius’un	Eutychıus’un	2
papalarin	papaların	2
anlaşmazliklari	anlaşmazlıkları	2
asasini	asasını	2
kuramina	kuramına	2
taşimasinin	taşımasının	2
Incil’deki	İncil’deki	2
tilavet	tılavet	2
Pentapolis	Pentapolıs	2
çobanlarin	çobanların	2
imzalarini	imzalarını	2
Ardilinin	Ardılının	2
sorulsaydi	sorulsaydı	2
Çağimizin	Çağımızın	2
Incili	İncili	2
çağimizin	çağımızın	2
anlaşmazliklarina	anlaşmazlıklarına	2
Iustinianus’un	İustinianus’un	2
meblağlarin	meblağların	2
anlatildi	anlatıldı	2
doğasina	doğasına	2
balica	balıca	2
adlandirilirlar	adlandırılırlar	2
kariştirilmamasi	karıştırılmaması	2
irfaninda	irfanında	2
uğramadi	uğramadı	2
yandaşlarini	yandaşlarını	2
aşağilamanin	aşağılamanın	2
çıktiklarinda	çıktıklarında	2
alinabildi	alınabildi	2
savaçi	savaçı	2
yatiştirmayi	yatıştırmayı	2
imparatorlari	imparatorları	2
canlandirir	canlandırır	2
onurlarin	onurların	2
almasindan	almasından	2
anilirdi	anılırdı	2
ihtişaminin	ihtişamının	2
tekrarlanir	tekrarlanır	2
Manastirlarin	Manastırların	2
sağlanirdi	sağlanırdı	2
ayricaliği	ayrıcalığı	2
kisitlamaya	kısıtlamaya	2
çıkişında	çıkışında	2
adalarina	adalarına	2
anlamindaki	anlamındaki	2
Ankoritler	Ankorıtler	2
olanlarinin	olanlarının	2
sapkinliği	sapkınlığı	2
hacilar	hacılar	2
Toudigerd	Toudıgerd	2
Theorianus	Theorıanus	2
siyasasini	siyasasını	2
çikarici	çıkarıcı	2
tarikatinin	tarikatının	2
ilikiye	ılıkıye	2
attiracak	attıracak	2
ağirbali	ağırbalı	2
timarlisi	tımarlısı	2
barindiriyor	barındırıyor	2
bağliyorum	bağlıyorum	2
bazilarindan	bazılarından	2
dindaşlarindan	dindaşlarından	2
Babiâlide	Babıalide	2
adlandirilmasinin	adlandırılmasının	2
belalarindan	belalarından	2
kariştirdi	karıştırdı	2
Kitap’in	Kitap’ın	2
misyonlarinda	misyonlarında	2
dolardir	dolardır	2
Yaşamlarini	Yaşamlarını	2
Protestanliğa	Protestanlığa	2
putkirici	putkırıcı	2
misyonlarin	misyonların	2
anlatimini	anlatımını	2
Çiçero’nun	Cicero’nun	2
kullanacaği	kullanacağı	2
selamlanirsiniz	selamlanırsınız	2
kullanilmamasi	kullanılmaması	2
olmamasidir	olmamasıdır	2
girtlaktan	gırtlaktan	2
ocaklarinin	ocaklarının	2
değiiklikler	değiıklıkler	2
Batini	Batıni	2
olasiliklari	olasılıkları	2
davalarinda	davalarında	2
nakiş	nakış	2
vakarindan	vakarından	2
elyazmalarindan	elyazmalarından	2
Şarklilar	Şarklılar	2
